gene,scores,log2FC,pvals,padj,significance
CPLX4,-0.056302685,-0.86725956,0.9551006797017377,0.9999916980191528,NS
AC019080.4,-0.05630564,-0.9272401,0.9550983260827826,0.9999916980191528,NS
AC100830.3,-0.056306154,-0.9186126,0.9550979167577869,0.9999916980191528,NS
AC098595.1,-0.056310005,-1.0079156,0.9550948468206965,0.9999916980191528,NS
TMIE,-0.05631386,-1.0307842,0.9550917768842723,0.9999916980191528,NS
AC012464.3,-0.056315146,-1.0590576,0.9550907535722789,0.9999916980191528,NS
AL021392.1,-0.056406736,-0.106438965,0.9550177916180581,0.9999916980191528,NS
AC004771.1,-0.056460816,-0.31793585,0.9549747104728153,0.9999916980191528,NS
IQCM,-0.056467365,-0.35110092,0.9549694916256712,0.9999916980191528,NS
NPIPB6,-0.056484964,-0.42830935,0.9549554723791767,0.9999916980191528,NS
AC005329.3,-0.056540072,-0.27652314,0.9549115727850623,0.9999916980191528,NS
AC090809.1,-0.056650802,-0.25140703,0.9548233646902855,0.9999916980191528,NS
AC137630.3,-0.056662492,-0.68713504,0.9548140527311126,0.9999916980191528,NS
NOBOX,-0.056677394,-0.83177084,0.9548021825503403,0.9999916980191528,NS
AC023946.1,-0.056679707,-0.87320524,0.9548003406266361,0.9999916980191528,NS
MAG,-0.05668073,-0.8814384,0.9547995219939562,0.9999916980191528,NS
AC134775.1,-0.05668754,-0.99280286,0.9547940985536562,0.9999916980191528,NS
AC127024.4,-0.056689724,-0.9837832,0.954792358960041,0.9999916980191528,NS
DAO,-0.056866866,-0.44888687,0.9546512479371404,0.9999916980191528,NS
AP003068.1,-0.05688819,-0.5311204,0.9546342614993325,0.9999916980191528,NS
ENPP5,-0.056909386,-0.13766833,0.9546173774098831,0.9999916980191528,NS
POLR1E,-0.056951392,-0.18727618,0.9545839162746113,0.9999916980191528,NS
CYP2A13,-0.057028465,-0.5679903,0.9545225199043609,0.9999916980191528,NS
TRDN,-0.057036944,-0.24053045,0.9545157663201018,0.9999916980191528,NS
RASGRF2-AS1,-0.057041183,-0.6974961,0.9545123895291969,0.9999916980191528,NS
AL360169.2,-0.05704324,-0.706304,0.9545107522975369,0.9999916980191528,NS
AC104841.1,-0.05704388,-0.7277715,0.9545102406626825,0.9999916980191528,NS
AC003005.2,-0.057046063,-0.7355095,0.9545085011043178,0.9999916980191528,NS
RSF1-IT1,-0.057055313,-0.8601165,0.9545011335654113,0.9999916980191528,NS
AL121885.2,-0.057057884,-0.8721407,0.9544990870275161,0.9999916980191528,NS
COX4I2,-0.05709218,-0.37177825,0.9544717657753563,0.9999916980191528,NS
TMEM51-AS1,-0.057103354,-0.084192306,0.9544628633564318,0.9999916980191528,NS
AC007952.6,-0.057116073,-0.40904102,0.9544527330245666,0.9999916980191528,NS
CNBD2,-0.057279214,-0.16737594,0.9543227789154761,0.9999916980191528,NS
LINC02671,-0.057391226,-0.24898604,0.9542335512852402,0.9999916980191528,NS
TRIM54,-0.057419874,-0.7396093,0.9542107328434194,0.9999916980191528,NS
KRTAP5-11,-0.057420388,-0.726995,0.9542103235443571,0.9999916980191528,NS
