gene,scores,log2FC,pvals,padj,significance
HSP90AA1,93.07071,4.1742377,0.0,0.0,Up
NEAT1,88.6911,1.3358572,0.0,0.0,Up
HSPA1A,59.450058,5.2868953,0.0,0.0,Up
HIF1A,58.753754,1.7551335,0.0,0.0,Up
B2M,56.01223,2.9892452,0.0,0.0,Up
PSAP,54.149406,3.2914898,0.0,0.0,Up
PLXDC2,52.83234,1.4062717,0.0,0.0,Up
ABCA1,52.66582,1.8441154,0.0,0.0,Up
MT-CO2,51.312126,1.4992557,0.0,0.0,Up
CHST11,50.856003,1.2829072,0.0,0.0,Up
PLCG2,50.03653,1.5095334,0.0,0.0,Up
RUNX1,49.637608,1.1007687,0.0,0.0,Up
CTSB,49.21096,2.5486827,0.0,0.0,Up
FTL,48.178,3.479458,0.0,0.0,Up
GLUL,46.946583,2.4177716,0.0,0.0,Up
HSPH1,46.3118,3.1036043,0.0,0.0,Up
EIF4G3,45.06588,1.1419281,0.0,0.0,Up
ZEB2,44.609657,1.2496357,0.0,0.0,Up
PTMA,43.414265,2.390475,0.0,0.0,Up
LRP1,42.828876,1.9655664,0.0,0.0,Up
HSP90AB1,41.74215,3.3444347,0.0,0.0,Up
DENND1A,41.62326,1.3291091,0.0,0.0,Up
PICALM,41.45157,0.9068156,0.0,0.0,Up
DMXL2,41.17669,1.6756248,0.0,0.0,Up
VCAN,40.960285,2.153849,0.0,0.0,Up
SFMBT2,40.389103,1.4395161,0.0,0.0,Up
SH3PXD2B,40.20332,1.6917093,0.0,0.0,Up
FNDC3B,39.903057,0.73438114,0.0,0.0,Up
ASAP1,39.739746,1.0449593,0.0,0.0,Up
TRPS1,38.939594,1.1990812,0.0,0.0,Up
QKI,38.734512,0.85069454,0.0,0.0,Up
RAB1A,38.52853,1.0443485,0.0,0.0,Up
CEBPB,38.067955,3.4040263,0.0,0.0,Up
CTSD,37.99434,3.1837504,0.0,0.0,Up
SBF2,37.897972,0.9654864,0.0,0.0,Up
CLASP1,37.594246,1.1347122,2.669240289859333e-309,8.521036309935565e-307,Up
RNF149,36.05406,1.052841,1.1910655143011974e-284,3.530658488821407e-282,Up
ARID5B,35.63628,0.9412905,3.843700543479999e-278,1.0840728231853784e-275,Up
TMSB4X,35.124264,2.948975,2.8735266966023316e-270,7.801490704326891e-268,Up
ELL2,35.06735,0.9560401,2.1214850353635027e-269,5.706401877528681e-267,Up
RBPJ,34.86276,1.0749955,2.7281922212965507e-266,7.204907638969527e-264,Up
CCDC88A,34.66198,1.2992679,2.9481664656591646e-263,7.646806770303459e-261,Up
FTH1,34.512566,2.255121,5.197208680572411e-261,1.3360965678816685e-258,Up
PCNX1,34.436363,0.89592415,7.20497811863208e-260,1.8360053890022975e-257,Up
CD163,34.07593,2.0846913,1.676737595139198e-254,4.1990713050684224e-252,Up
WAC,33.972343,0.84019494,5.707232814264619e-253,1.405043332664298e-250,Up
TCF4,33.847435,1.0619411,3.958736215138709e-251,9.583440587481625e-249,Up
DOCK2,33.086735,1.0537001,4.611408819562969e-240,1.054814379592947e-237,Up
SLC11A1,33.021973,1.748653,3.930070640672998e-239,8.850275357484542e-237,Up
TIMP2,32.91263,1.9159052,1.449910482862031e-237,3.215259505888702e-235,Up
RPS19,32.59407,3.832521,4.976321264063583e-233,1.070830612748497e-230,Up
PHF21A,32.593327,0.94109946,5.099188654202012e-233,1.0892016941512385e-230,Up
PTGES3,32.509613,1.7096603,7.799256422820026e-232,1.6417999933545053e-229,Up
HSPD1,32.27151,2.2245994,1.7562759970956674e-228,3.54304289691869e-226,Up
ATP1B3,32.212067,1.4250956,1.1962158800281016e-227,2.3639504295793438e-225,Up
ACTB,32.154755,2.498208,7.578530257459451e-227,1.487542594454034e-224,Up
UBR5,32.03388,0.76137143,3.681991751228275e-225,7.178648347193382e-223,Up
HSPA1B,32.00367,5.315518,9.694281601717971e-225,1.8774592035327137e-222,Up
SKAP2,31.848635,1.2296205,1.3748879645310552e-222,2.6276641690544183e-220,Up
ADAMTS2,31.561018,2.3005378,1.2660906765355092e-218,2.2987458845847837e-216,Up
MT-CO1,31.45106,0.849357,4.059959845260745e-217,7.325579720796562e-215,Up
ACSL1,31.39983,1.3585021,2.0342478623999616e-216,3.647833358192524e-214,Up
HLA-E,31.281147,1.6286575,8.42227993466269e-215,1.4650732461194682e-212,Up
PDE4B,31.271364,1.3469186,1.1440783904636776e-214,1.9783022168434426e-212,Up
JUND,31.161583,1.8874229,3.5343288057611255e-213,6.004225251892438e-211,Up
ADAM9,31.014576,1.2317016,3.4288205953015167e-211,5.724553924914313e-209,Up
MAN1A1,30.889942,0.9918478,1.6302447898170088e-209,2.690830178646824e-207,Up
HIST1H2AC,30.776518,2.3783538,5.403661792688574e-208,8.818897476269836e-206,Up
RPS28,30.773678,4.198974,5.897731201403872e-208,9.571457620155446e-206,Up
TPST1,30.713533,1.2047132,3.7546375685911595e-207,6.02363821430512e-205,Up
KYNU,30.562334,1.5982736,3.877579205692078e-205,6.121938908986678e-203,Up
H2AFY,30.531984,1.7449471,9.808834051608414e-205,1.531971124727013e-202,Up
HLA-A,30.344883,2.0901124,2.935079440272499e-202,4.559575280209417e-200,Up
KCNMA1,30.32824,1.672507,4.865571828283884e-202,7.47856410643634e-200,Up
SDCBP,30.254923,1.4603045,4.494735583001209e-201,6.836233962627493e-199,Up
TXNIP,30.172264,0.9732951,5.476480295496964e-200,8.286028780426396e-198,Up
SLC8A1,30.112207,1.1237166,3.3537458680549355e-199,5.047995723678543e-197,Up
PIP4K2A,29.95879,0.85754067,3.380399103452011e-197,5.061886286354686e-195,Up
RPL13A,29.829258,3.346636,1.6312528144444134e-195,2.4301484235697544e-193,Up
RPL13,29.813646,3.1676474,2.599850953708153e-195,3.8533505206745837e-193,Up
FMNL2,29.746225,0.78973,1.9404147059025503e-194,2.8613729546431008e-192,Up
SLCO2B1,29.586231,1.6651205,2.246961068580723e-192,3.2801115096618097e-190,Up
IFI16,29.558395,1.1491891,5.1224909811670506e-192,7.440418150145141e-190,Up
PTPRC,29.406696,0.8598641,4.50915778735216e-190,6.452760281900506e-188,Up
IRAK3,29.379702,1.0324574,9.97899265493557e-190,1.4210281207150896e-187,Up
HIF1A-AS3,29.150501,1.127724,8.232745379549885e-187,1.1609769576501173e-184,Up
P4HA1,28.953337,1.4368364,2.5475970581659785e-184,3.575250943947907e-182,Up
IGF2R,28.928299,0.94193727,5.262528487941525e-184,7.314662802617287e-182,Up
MT-ND4,28.885271,0.8893038,1.828204161753445e-183,2.5290157570922655e-181,Up
COL1A2,28.852352,2.0538304,4.7340113607534234e-183,6.517679148335875e-181,Up
OSBPL8,28.66679,0.8446235,9.902068285695905e-181,1.3379306218579816e-178,Up
COL3A1,28.597906,2.4446049,7.134055493903525e-180,9.594644078606361e-178,Up
GRB2,28.494719,1.1193691,1.3619708360190098e-178,1.80663254732202e-176,Up
CANX,28.488678,2.032204,1.6181071381659281e-178,2.136636925623646e-176,Up
MGAT1,28.479671,2.354789,2.0919570294000315e-178,2.7498349187362407e-176,Up
SOD2,28.372143,1.0825291,4.46319750853979e-177,5.840355298336977e-175,Up
HSPA8,28.286913,4.017213,5.006791871933513e-176,6.522300622406662e-174,Up
EEF1A1,28.131502,2.8626049,4.0356186215837e-174,5.187377033495863e-172,Up
MT-CO3,27.975971,0.8030586,3.1859641655923297e-172,4.0240112613242255e-170,Up
CBLB,27.949461,0.7479633,6.692625371207763e-172,8.416483421367338e-170,Up
FNBP1,27.844212,0.78468263,1.2658218881431067e-170,1.5782028262041736e-168,Up
RAPGEF1,27.830328,0.7890376,1.8638747963648106e-170,2.3139129416409296e-168,Up
MYCBP2,27.455578,0.6405282,5.959831452126922e-166,7.201803617311081e-164,Up
ABHD3,27.455488,1.4575627,5.974646030196112e-166,7.201803617311081e-164,Up
FNIP1,27.286076,0.77167785,6.205907343815398e-164,7.449653237100715e-162,Up
CTSS,27.117546,1.8876117,6.115467284006751e-162,7.251196922465148e-160,Up
LAMP1,27.085339,2.4313908,1.4656048971761633e-161,1.7307244822344528e-159,Up
ACVR1,27.077656,2.6542985,1.8051035288807362e-161,2.1230063770844288e-159,Up
ATP13A3,27.061855,1.0099647,2.7701840198792353e-161,3.244913136189185e-159,Up
TFRC,27.04642,1.5897526,4.2085059142991244e-161,4.909923566682312e-159,Up
TBL1XR1,26.948122,0.6327185,6.000780967111198e-160,6.9451269758796936e-158,Up
SAMSN1,26.839977,1.3388599,1.104252336454707e-158,1.272957554524176e-156,Up
XPO1,26.836866,0.85343516,1.2005637579878417e-158,1.3785129316026403e-156,Up
SND1,26.80019,0.6915107,3.214848562824756e-158,3.662405911767026e-156,Up
PLIN2,26.728794,2.8390002,2.1787000722111194e-157,2.4531487247183342e-155,Up
RREB1,26.71061,0.7913471,3.5441456439412e-157,3.975190384420535e-155,Up
PTBP3,26.697405,0.8935581,5.04486519555629e-157,5.636666689650394e-155,Up
RNF13,26.667444,0.8893416,1.123362910970123e-156,1.2503330484169376e-154,Up
CTSZ,26.591352,2.802072,8.546285238529098e-156,9.439908219744118e-154,Up
BMP2K,26.455616,0.96351016,3.1443982393028496e-154,3.421152391451228e-152,Up
ETV6,26.39379,0.60191333,1.6146355533226584e-153,1.750192642687434e-151,Up
DNAJB6,26.368649,1.0685049,3.1371045053907667e-153,3.387839623851367e-151,Up
SLC2A3,26.257427,1.2083868,5.879580188353282e-152,6.325992758209735e-150,Up
MT-ATP6,26.2328,0.7489194,1.1232581766732473e-151,1.1996562511896262e-149,Up
HELZ,26.220743,0.73947674,1.5416438217161803e-151,1.6404671436210636e-149,Up
HSP90B1,26.112135,1.9065707,2.6547115632075715e-150,2.8043407604065437e-148,Up
PAG1,26.075724,0.94518554,6.874676039258034e-150,7.235845613784271e-148,Up
APOE,26.043512,3.1656184,1.5934297061207923e-149,1.6710878325923833e-147,Up
LDLRAD3,26.018023,2.1220963,3.0968757580781737e-149,3.2245247588591736e-147,Up
HSPB1,25.910826,3.6536655,5.0288888839116475e-148,5.180468868001183e-146,Up
MRC1,25.85469,1.1382045,2.1549040842427412e-147,2.2120128497262058e-145,Up
ACAP2,25.835306,0.75631624,3.5588581153494544e-147,3.640310853904988e-145,Up
RNF213,25.703259,0.58751094,1.0748332731604491e-145,1.0917449855003863e-143,Up
SLC38A2,25.684465,1.1531892,1.7432451697842865e-145,1.7645042572206804e-143,Up
MANBA,25.68413,1.0111989,1.758419879137554e-145,1.7736839405884009e-143,Up
VMP1,25.534292,0.5552542,8.206232090839503e-144,8.164076789002999e-142,Up
SQSTM1,25.478313,1.4051827,3.429041044773488e-143,3.376733639005757e-141,Up
UBE2D3,25.45718,0.72782546,5.878756362229432e-143,5.769522713606925e-141,Up
HLA-B,25.36019,2.2118788,6.937481977907032e-142,6.740262590575227e-140,Up
PTPRJ,25.355703,0.7751031,7.775017756242787e-142,7.528808860628432e-140,Up
PLXNC1,25.272488,1.5568948,6.411776741211439e-141,6.147264499412287e-139,Up
CEP170,25.177443,1.0096105,7.076532378211151e-140,6.762278473257695e-138,Up
FLI1,25.054106,0.8897691,1.5749706150912655e-138,1.495192691777819e-136,Up
MSR1,24.997133,1.3881899,6.56842303557932e-138,6.195217181285041e-136,Up
CYTH1,24.944407,0.69077295,2.4556569194833176e-137,2.30863538870519e-135,Up
MITF,24.900522,0.9356742,7.344037993420361e-137,6.88207431318908e-135,Up
APLP2,24.855923,1.1552997,2.2314117517357637e-136,2.0776445957667929e-134,Up
NPL,24.849102,2.0601633,2.644273255461405e-136,2.4541897147333484e-134,Up
TYMP,24.823526,1.4747957,4.996102747519075e-136,4.607516978267591e-134,Up
UGCG,24.783041,1.1274787,1.3659706543633914e-135,1.2439325238011449e-133,Up
MTRNR2L12,24.782593,1.2887226,1.3812699822846443e-135,1.2539341557927787e-133,Up
DNAJB1,24.757584,3.1403368,2.568834478362215e-135,2.324755189919699e-133,Up
COL6A3,24.733446,1.6348405,4.6726349710607226e-135,4.202478201526749e-133,Up
HMOX1,24.678679,3.785379,1.8120103098261881e-134,1.6246573919892214e-132,Up
CLIP4,24.615126,1.0679042,8.700521879840658e-134,7.729362709766702e-132,Up
TMEM30A,24.611074,1.8806244,9.614484808731728e-134,8.515267795538314e-132,Up
CERT1,24.577549,0.79386246,2.1958907980171434e-133,1.9272092955407256e-131,Up
PDE3B,24.576162,0.86377925,2.272166976601195e-133,1.9881461045260457e-131,Up
FN1,24.565472,1.1642852,2.9559434985508626e-133,2.578683442429506e-131,Up
GPCPD1,24.474579,0.7515985,2.7556346631020422e-132,2.3683783125181754e-130,Up
DOCK11,24.403337,0.8938927,1.576197687123841e-131,1.3467218473808111e-129,Up
UBC,24.398718,1.5246954,1.7646146988541536e-131,1.5032861290824975e-129,Up
GAS7,24.386658,0.968749,2.369294326447938e-131,2.0066472356650903e-129,Up
SLC16A10,24.205143,1.525615,1.9639326503174192e-129,1.6347347705364192e-127,Up
H3F3A,24.107153,2.4098709,2.103167909178721e-128,1.7456293646183384e-126,Up
ABR,24.036118,0.78755236,1.1662146007745692e-127,9.624583566051487e-126,Up
EPSTI1,23.988886,1.2193658,3.6322652782336603e-127,2.9891588196228845e-125,Up
GRN,23.91869,2.6510494,1.9574943656088585e-126,1.6018369386179532e-124,Up
FXR1,23.777195,1.139753,5.750978466174119e-125,4.666645934144082e-123,Up
SCARB2,23.768263,1.1632295,7.114187731479101e-125,5.740754266651885e-123,Up
ELMO1,23.616383,0.5801069,2.6161585029509472e-123,2.076486462041667e-121,Up
NUFIP2,23.578188,0.90787435,6.453282689422272e-123,5.094235383905354e-121,Up
RNF130,23.565756,0.9081681,8.655136683183102e-123,6.79545190936403e-121,Up
SMCHD1,23.552986,0.54743034,1.1699680566886958e-122,9.16107063256243e-121,Up
PIK3R5,23.508816,0.94076514,3.3141847368083445e-122,2.5880931882871617e-120,Up
GNA13,23.475256,1.2397611,7.300956744556951e-122,5.6709303055983805e-120,Up
NORAD,23.45167,2.5324023,1.2710784253100997e-121,9.846620868068906e-120,Up
ARHGAP10,23.375265,0.79488695,7.629390738039658e-121,5.878880661539843e-119,Up
LAMP2,23.307447,2.0648384,3.725671676357109e-120,2.8556929339887607e-118,Up
ZFP36L1,23.228735,0.8274948,2.3338479608023e-119,1.779482500296767e-117,Up
SOAT1,23.193415,1.3362591,5.306273834421877e-119,4.0352684526166365e-117,Up
RTN4,23.193031,0.6242041,5.353698751111959e-119,4.060703621926956e-117,Up
MAF,23.170975,2.0449438,8.935793178132092e-119,6.760020620435867e-117,Up
ZDHHC20,23.157309,0.7811434,1.2270728382784305e-118,9.258822325191794e-117,Up
JARID2,23.136019,0.6829156,2.0103306249038603e-118,1.5129560791051073e-116,Up
OAZ1,23.127144,3.573358,2.4694678371865085e-118,1.853696141350596e-116,Up
VPS8,23.002739,0.7802136,4.3762336115206e-117,3.2513960719865328e-115,Up
TAOK1,22.972303,0.67751765,8.82107764366157e-117,6.520414899449582e-115,Up
AAK1,22.942623,0.64918894,1.7458372054365777e-116,1.2807214853013279e-114,Up
FYB1,22.846222,0.94653934,1.593409524762498e-115,1.1630288114158433e-113,Up
MT-ND5,22.794544,0.8672626,5.19356325964954e-115,3.76241926914761e-113,Up
DOCK8,22.784964,0.66210943,6.4637305353894745e-115,4.6709296530612994e-113,Up
SLC1A3,22.737953,1.5530035,1.8883454220480367e-114,1.3612018488956691e-112,Up
DOCK10,22.715912,0.7441818,3.1192996673435813e-114,2.242961765750768e-112,Up
CTSL,22.672379,3.1253183,8.393513581614044e-114,5.9762639594580385e-112,Up
PRKCB,22.664822,0.8083577,9.965241849153267e-114,7.078001851293457e-112,Up
SRGN,22.64714,1.1917675,1.488643047176124e-113,1.0547580614747903e-111,Up
PKM,22.490517,1.811294,5.139794043990492e-112,3.5978558307933445e-110,Up
ZFP36L2,22.4808,1.0311477,6.397572981446082e-112,4.456822424724429e-110,Up
SARAF,22.457788,1.2858876,1.074034976364266e-111,7.464286139565055e-110,Up
ITM2B,22.42717,1.4437435,2.1381612436506865e-111,1.4824244421969556e-109,Up
GK,22.42397,1.4901963,2.2975781601417335e-111,1.5891582274313656e-109,Up
INPP4A,22.421537,0.8238841,2.4265661134574562e-111,1.6743882564356083e-109,Up
RPLP1,22.389032,3.2659094,5.033889382108865e-111,3.4570800602898944e-109,Up
ZMYM2,22.34541,0.5842965,1.338156133335623e-110,9.125219641643157e-109,Up
ACTR2,22.28953,0.96448994,4.668668037361016e-110,3.168803889844335e-108,Up
CAPZB,22.256588,0.6113187,9.73811465669691e-110,6.563624844014971e-108,Up
VAV3,22.209625,0.9275941,2.772448445953851e-109,1.8600375832554128e-107,Up
CTSC,22.196945,1.7074772,3.676051440478227e-109,2.4605828190297807e-107,Up
PREX1,22.158735,0.91975814,8.593134454468402e-109,5.738633469018553e-107,Up
CORO1C,22.15056,0.92978525,1.0302895398672874e-108,6.864658516776307e-107,Up
MIS18BP1,22.037025,1.0983349,1.2722344379493095e-107,8.418772305792128e-106,Up
PRKAG2,21.991934,0.7850315,3.440051000669288e-107,2.2712154902146096e-105,Up
MERTK,21.986454,1.3904591,3.881637368439921e-107,2.5511666414746543e-105,Up
RHOQ,21.98349,1.1378117,4.1434765529637156e-107,2.7171104709615336e-105,Up
DCN,21.974123,1.9455276,5.0929737059413164e-107,3.3322271657116042e-105,Up
PDS5B,21.871208,0.71276367,4.8846071291158255e-106,3.181565854278357e-104,Up
RPL37A,21.819485,3.4344623,1.5155971744846918e-105,9.849686335297605e-104,Up
PPARG,21.815327,1.1291705,1.6597900588313934e-105,1.0762701162734817e-103,Up
MYO9B,21.70452,0.68872803,1.8595593409693812e-104,1.195137142813286e-102,Up
COL1A1,21.598778,2.1670706,1.844345051643939e-103,1.1723900164169898e-101,Up
WIPF1,21.568659,0.8461949,3.538033404121748e-103,2.2343450084725388e-101,Up
RASSF3,21.565289,1.0609192,3.805447632162695e-103,2.3980098419593553e-101,Up
P4HB,21.518642,2.1921844,1.0416585119579067e-102,6.507565542446707e-101,Up
RPL41,21.501389,3.0848782,1.511001268875884e-102,9.419439240524554e-101,Up
HSPE1,21.479412,4.522748,2.4255220372814863e-102,1.5055857945091278e-100,Up
TMBIM6,21.422813,1.8890666,8.188999873739844e-102,5.072290966570201e-100,Up
ATP2A2,21.31843,0.8815476,7.65853947141437e-101,4.713571433148039e-99,Up
BACH1,21.254263,0.66837585,3.010524377520083e-100,1.8450576617501774e-98,Up
MFSD1,21.229654,1.5919952,5.083468239455708e-100,3.108942154867122e-98,Up
DENND5A,21.184834,0.8951854,1.317932137695638e-99,8.043262310936615e-98,Up
TAPBP,21.141129,1.4545325,3.3302117096963883e-99,2.0281478022364797e-97,Up
ZMIZ1,21.129066,0.80910766,4.299630795120499e-99,2.6130601380387135e-97,Up
BNIP3L,21.117405,1.1920638,5.503588649382888e-99,3.337771404270833e-97,Up
STT3B,21.114353,0.7908495,5.8708263391242e-99,3.5530730239907924e-97,Up
ERBIN,21.046186,0.52603614,2.4783715662365148e-98,1.496812765055525e-96,Up
PABPC1,21.010906,0.74255157,5.2129882086441445e-98,3.141852851890299e-96,Up
PIK3R1,20.997988,0.7582761,6.842233502743985e-98,4.11525638208515e-96,Up
APOL6,20.986647,2.0851588,8.686079038475e-98,5.202692702426779e-96,Up
TBXAS1,20.940392,0.7938819,2.295661046920161e-97,1.3693830269616156e-95,Up
CMIP,20.834114,0.523755,2.1240935265625436e-96,1.2567192860823196e-94,Up
PLEKHA2,20.793295,0.9512195,4.9772318373443834e-96,2.938792375505169e-94,Up
ITGAX,20.749756,1.6413615,1.2321487178408358e-95,7.231095000661875e-94,Up
EEF2,20.730871,2.7750568,1.8246057717786764e-95,1.0686451143179547e-93,Up
SEC24D,20.683214,0.9551777,4.9060532199497954e-95,2.8618643783040474e-93,Up
CSGALNACT2,20.648401,1.0783739,1.009044403922073e-94,5.8742965799471385e-93,Up
HLA-DRA,20.633158,1.7771033,1.383144248647835e-94,8.020028028586747e-93,Up
GNAI2,20.629597,1.7843779,1.4888495481515183e-94,8.615752863307093e-93,Up
ACTG1,20.587164,1.9194291,3.5770497908430435e-94,2.0617717544442543e-92,Up
BRWD1,20.574068,0.60012734,4.686522207653215e-94,2.695910299650018e-92,Up
LIMS1,20.52251,0.5885311,1.3553087556712749e-93,7.765625118787087e-92,Up
CBL,20.499123,1.0977805,2.1921292682004684e-93,1.253569985063457e-91,Up
LCP1,20.446655,1.2728782,6.433892277690619e-93,3.6719954944383586e-91,Up
LUM,20.433296,2.5759978,8.45938817269788e-93,4.818533851311243e-91,Up
FRMD4A,20.429647,0.8517406,9.11578763759165e-93,5.182262835069225e-91,Up
LGMN,20.426958,1.6492195,9.631775295601011e-93,5.46490375658612e-91,Up
ATP6V1B2,20.4059,1.9474841,1.4821191757092284e-92,8.360303311524871e-91,Up
USP15,20.23139,0.5382831,5.182174610750469e-91,2.89504177773656e-89,Up
APP,20.214571,0.7123066,7.287522966835715e-91,4.063388525654079e-89,Up
ZCCHC2,20.213099,1.1730105,7.508396046310622e-91,4.178523087075165e-89,Up
PTP4A2,20.189968,1.0622448,1.1994390346746876e-90,6.662276091261888e-89,Up
GPNMB,20.170387,2.736707,1.7823718010718123e-90,9.862457299264029e-89,Up
LAPTM4A,20.163614,2.1514657,2.0439429721636415e-90,1.1288316224591974e-88,Up
AFF1,20.118126,0.45946872,5.120810076256434e-90,2.817415392334269e-88,NS
FGF7,20.11165,2.3857582,5.835043859145953e-90,3.20431047463497e-88,Up
ABCG1,20.072275,1.3891504,1.289640777967413e-89,7.068691433953462e-88,Up
TGOLN2,20.056095,1.5223819,1.785704038628334e-89,9.73258955387488e-88,Up
COL5A2,20.021397,1.3382256,3.5853258649197305e-89,1.9431663502969808e-87,Up
RPS24,20.015867,2.5686195,4.0060998462514795e-89,2.1671731942943293e-87,Up
TNFRSF1B,19.95952,1.3293573,1.2389754826950316e-88,6.690007020871871e-87,Up
ITGAV,19.957209,0.8030875,1.2976146039126916e-88,6.993637150958013e-87,Up
ARL15,19.945158,0.46510485,1.6512546277889166e-88,8.866718472692796e-87,NS
CHST15,19.940786,1.419991,1.8021272201274275e-88,9.659002904926526e-87,Up
BCL6,19.878426,0.93658525,6.256704492614162e-88,3.322801928892896e-86,Up
RAB8B,19.811739,0.7573219,2.3579625435712666e-87,1.2499783191741843e-85,Up
NCKAP1L,19.646225,1.2361838,6.227543506577178e-86,3.271431082569024e-84,Up
SLC6A6,19.617176,1.2874144,1.1031549551965554e-85,5.75343832108796e-84,Up
ROR2,19.59199,1.8504506,1.8098076892885984e-85,9.371642312626344e-84,Up
LAPTM5,19.561392,1.3647012,3.299497981521229e-85,1.7024940739465666e-83,Up
IQSEC1,19.552076,0.9489785,3.960650537341223e-85,2.0400159239319598e-83,Up
RPL28,19.432266,3.2233644,4.1177928237305945e-84,2.102317777317641e-82,Up
HP1BP3,19.425201,0.7319184,4.725225483375013e-84,2.4039894972336978e-82,Up
MLLT10,19.40031,0.5218947,7.670579183386008e-84,3.895635057296565e-82,Up
GPBP1,19.397291,0.55628747,8.134539988389058e-84,4.124055613659723e-82,Up
TRPC4AP,19.281015,0.689425,7.75406347178764e-83,3.897154737983234e-81,Up
DOCK4,19.221273,0.44325313,2.456666529765781e-82,1.2304510808568265e-80,NS
CERS6,19.210903,0.695794,3.000064293502297e-82,1.5000321467511483e-80,Up
HLA-C,19.197819,1.4804736,3.859636155533009e-82,1.9265022391449127e-80,Up
MYO5A,19.191267,0.74758047,4.3783580418382313e-82,2.1816689728199077e-80,Up
RPL3,19.179798,2.5592341,5.459186351521244e-82,2.706303131598842e-80,Up
ARL8B,19.167273,0.8476688,6.94556769013858e-82,3.4372869062781216e-80,Up
FNDC3A,19.10397,0.5194044,2.3400550407286965e-81,1.1502301003920243e-79,Up
TFEC,19.091484,1.555904,2.972070975371989e-81,1.455963943247155e-79,Up
CYBB,19.077368,1.7587435,3.8938457761756715e-81,1.904313464611166e-79,Up
SLC39A11,19.041132,0.5898646,7.782625804557637e-81,3.7997525986957876e-79,Up
HNRNPK,18.97415,1.188891,2.7898812755397028e-80,1.3598330713830264e-78,Up
ATF7IP,18.955181,0.6076149,4.001707529282406e-80,1.9472295431432816e-78,Up
ITGB1,18.82114,0.5977548,5.068220989710386e-79,2.4579602629563726e-77,Up
FAM49A,18.816408,0.86874986,5.541702072945564e-79,2.6831074203178104e-77,Up
CLTC,18.803423,0.6821559,7.07964379605947e-79,3.4163397387961397e-77,Up
UBASH3B,18.788837,0.97794646,9.319979429964611e-79,4.489973506475488e-77,Up
GPRIN3,18.776836,0.80496746,1.1683735130167895e-78,5.6194123432347246e-77,Up
CD81,18.761312,2.546732,1.5648939658867679e-78,7.514077637852993e-77,Up
HSPA5,18.65229,2.36437,1.2098125636492587e-77,5.76148442196901e-76,Up
ATP6V1A,18.61352,1.2602937,2.4966126647615756e-77,1.1850751292699962e-75,Up
DISC1,18.605371,0.809269,2.9066677061748912e-77,1.3774665067598792e-75,Up
MAN2A1,18.56239,0.66351193,6.475875846953327e-77,3.0639119438761263e-75,Up
GBP2,18.5558,1.4135275,7.321075569460877e-77,3.4525526833253e-75,Up
STK38,18.547266,0.79251367,8.580651643097153e-77,4.0399988692378e-75,Up
CLK1,18.5441,0.7902075,9.101285512864227e-77,4.278193271014657e-75,Up
IRF2,18.506393,1.121366,1.8337449578268005e-76,8.591982423365895e-75,Up
ZNF638,18.485096,0.422856,2.7221514236107465e-76,1.273405778677813e-74,NS
PVT1,18.480654,0.687142,2.9558023371446756e-76,1.3804832458850938e-74,Up
TGFBI,18.442522,2.1274312,5.988285967087645e-76,2.7789090630015347e-74,Up
TRIO,18.41213,0.3696226,1.0501076287232873e-75,4.857583855798009e-74,NS
SOS1,18.406538,0.50438726,1.1643195356431512e-75,5.377342211515666e-74,Up
IQGAP2,18.398647,0.57921684,1.3468618505997527e-75,6.210529644432193e-74,Up
ZC3HAV1,18.39107,1.0269964,1.548923614164759e-75,7.119656802450354e-74,Up
USP33,18.378996,0.67909384,1.9351596069299178e-75,8.866937946579514e-74,Up
STAT1,18.372934,0.9760137,2.1638707712857003e-75,9.899282819818833e-74,Up
RPS2,18.239481,2.6269286,2.5083284934029795e-74,1.138545980208696e-72,Up
SERPINH1,18.233408,2.8136485,2.8030030090421245e-74,1.2703157162663607e-72,Up
IFI30,18.185892,2.8976066,6.675980229454297e-74,3.006778692490656e-72,Up
KCNAB2,18.183994,1.1290141,6.911102450297484e-74,3.1078564424325374e-72,Up
RPL17,18.171236,2.7967038,8.721116787131622e-74,3.9157409994771814e-72,Up
MORF4L1,18.145542,0.81889725,1.3925258690406449e-73,6.233108859111053e-72,Up
TPT1,18.09966,2.4196696,3.206393584580474e-73,1.4330112866471196e-71,Up
RAD23B,18.094692,0.8790841,3.509028521036252e-73,1.5658568131505856e-71,Up
ARPC5,18.048632,1.9849465,8.08687894518889e-73,3.5921075436962887e-71,Up
HIPK2,18.042965,0.5439499,8.960637378020646e-73,3.9680871315777405e-71,Up
SGK3,18.042318,0.7533157,9.065971415604263e-73,4.008622064281641e-71,Up
ARHGAP18,18.031626,0.655083,1.1000797996772585e-72,4.856735285809173e-71,Up
SEL1L,18.008846,1.1673034,1.660535290624514e-72,7.297813947449642e-71,Up
MT-ND6,17.984598,0.6344362,2.5724922595834187e-72,1.12886556104076e-70,Up
THBS2,17.969654,2.03194,3.3681097113635555e-72,1.4713321370693426e-70,Up
ZFAND3,17.932196,0.32122472,6.611526178003424e-72,2.879532765682151e-70,NS
SH3BGRL,17.931147,0.732638,6.737597215905801e-72,2.9300478910488555e-70,Up
STX7,17.919838,0.7502532,8.256895659205228e-72,3.585393406575663e-70,Up
RANBP9,17.86355,0.6684301,2.2674965099988234e-71,9.802198454682413e-70,Up
