pathway,ligand,receptor,sender,receiver,COVID,Control,log2FC
Chemokine_signaling,CCL2,CCR2,NK_cell,B_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Endothelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Epithelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Fibroblast,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Mast_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Myeloid,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,NK_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,Plasma_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,NK_cell,T_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,Plasma_cell,B_cell,2.0033654e-05,0.0,0.02861684
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Endothelial,9.147216e-07,0.0,0.0013190197
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Epithelial,1.1305731e-06,0.0,0.0016301621
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Fibroblast,1.4395076e-06,0.0,0.0020751972
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Mast_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Myeloid,3.6705613e-05,0.0,0.05200628
Chemokine_signaling,CCL2,CCR2,Plasma_cell,NK_cell,5.1556934e-05,0.0,0.072526984
Chemokine_signaling,CCL2,CCR2,Plasma_cell,Plasma_cell,0.00048223828,0.0,0.5677773
Chemokine_signaling,CCL2,CCR2,Plasma_cell,T_cell,3.3640325e-05,0.0,0.047734175
Chemokine_signaling,CCL2,CCR2,T_cell,B_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Endothelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Epithelial,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Fibroblast,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Mast_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Myeloid,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,NK_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,Plasma_cell,0.0,0.0,0.0
Chemokine_signaling,CCL2,CCR2,T_cell,T_cell,0.0,0.0,0.0
Chemokine_signaling,CCL3,CCR1,B_cell,B_cell,2.8416098e-05,0.0,0.04042401
Chemokine_signaling,CCL3,CCR1,B_cell,Endothelial,1.8762685e-05,0.0,0.026818056
Chemokine_signaling,CCL3,CCR1,B_cell,Epithelial,8.063616e-06,0.0,0.0115867695
Chemokine_signaling,CCL3,CCR1,B_cell,Fibroblast,4.7254136e-05,0.0,0.06661151
Chemokine_signaling,CCL3,CCR1,B_cell,Mast_cell,9.3599476e-05,0.0,0.1290844
Chemokine_signaling,CCL3,CCR1,B_cell,Myeloid,0.00074510847,0.0,0.8033167
Chemokine_signaling,CCL3,CCR1,B_cell,NK_cell,0.00023192709,0.0,0.30091694
Chemokine_signaling,CCL3,CCR1,B_cell,Plasma_cell,6.944297e-06,0.0,0.0099838795
Chemokine_signaling,CCL3,CCR1,B_cell,T_cell,4.1334777e-05,0.0,0.058433913
Chemokine_signaling,CCL3,CCR1,Endothelial,B_cell,1.0237848e-05,2.2635702e-06,0.011433044
Chemokine_signaling,CCL3,CCR1,Endothelial,Endothelial,6.7598835e-06,0.0,0.0097196335
Chemokine_signaling,CCL3,CCR1,Endothelial,Epithelial,2.905187e-06,6.4209394e-07,0.0032589992
Chemokine_signaling,CCL3,CCR1,Endothelial,Fibroblast,1.702488e-05,2.1743117e-06,0.021221627
Chemokine_signaling,CCL3,CCR1,Endothelial,Mast_cell,3.372234e-05,0.0,0.04784881
Chemokine_signaling,CCL3,CCR1,Endothelial,Myeloid,0.0002684502,3.716243e-05,0.290425
Chemokine_signaling,CCL3,CCR1,Endothelial,NK_cell,8.355948e-05,3.1424217e-06,0.1112519
Chemokine_signaling,CCL3,CCR1,Endothelial,Plasma_cell,2.501915e-06,0.0,0.0036048924
Chemokine_signaling,CCL3,CCR1,Endothelial,T_cell,1.4892234e-05,6.3759467e-07,0.020406915
Chemokine_signaling,CCL3,CCR1,Epithelial,B_cell,4.8331344e-06,4.7212367e-07,0.00627488
Chemokine_signaling,CCL3,CCR1,Epithelial,Endothelial,3.1912396e-06,0.0,0.0045968164
Chemokine_signaling,CCL3,CCR1,Epithelial,Epithelial,1.3714952e-06,1.339246e-07,0.0017840763
Chemokine_signaling,CCL3,CCR1,Epithelial,Fibroblast,8.03719e-06,4.535066e-07,0.010894622
Chemokine_signaling,CCL3,CCR1,Epithelial,Mast_cell,1.591981e-05,0.0,0.022786522
Chemokine_signaling,CCL3,CCR1,Epithelial,Myeloid,0.0001267313,7.751146e-06,0.16100407
Chemokine_signaling,CCL3,CCR1,Epithelial,NK_cell,3.9447175e-05,6.554299e-07,0.05487123
Chemokine_signaling,CCL3,CCR1,Epithelial,Plasma_cell,1.1811165e-06,0.0,0.0017029986
Chemokine_signaling,CCL3,CCR1,Epithelial,T_cell,7.0304e-06,1.3298617e-07,0.00991556
Chemokine_signaling,CCL3,CCR1,Fibroblast,B_cell,4.438722e-06,4.0914133e-06,0.0004988354
Chemokine_signaling,CCL3,CCR1,Fibroblast,Endothelial,2.9308155e-06,0.0,0.004222181
Chemokine_signaling,CCL3,CCR1,Fibroblast,Epithelial,1.2595731e-06,1.1605877e-06,0.00014273853
Chemokine_signaling,CCL3,CCR1,Fibroblast,Fibroblast,7.381308e-06,3.9300785e-06,0.0049511306
Chemokine_signaling,CCL3,CCR1,Fibroblast,Mast_cell,1.4620659e-05,0.0,0.020940445
Chemokine_signaling,CCL3,CCR1,Fibroblast,Myeloid,0.00011638929,6.7171255e-05,0.06504842
Chemokine_signaling,CCL3,CCR1,Fibroblast,NK_cell,3.622805e-05,5.6799413e-06,0.0431705
Chemokine_signaling,CCL3,CCR1,Fibroblast,Plasma_cell,1.0847305e-06,0.0,0.0015641939
Chemokine_signaling,CCL3,CCR1,Fibroblast,T_cell,6.456678e-06,1.1524552e-06,0.0076232487
Chemokine_signaling,CCL3,CCR1,Mast_cell,B_cell,1.588901e-05,2.6008795e-05,-0.014300226
Chemokine_signaling,CCL3,CCR1,Mast_cell,Endothelial,1.0491254e-05,0.0,0.015056832
Chemokine_signaling,CCL3,CCR1,Mast_cell,Epithelial,4.5088136e-06,7.3777646e-06,-0.0041147
Chemokine_signaling,CCL3,CCR1,Mast_cell,Fibroblast,2.64224e-05,2.49832e-05,0.0020243626
Chemokine_signaling,CCL3,CCR1,Mast_cell,Mast_cell,5.2336643e-05,0.0,0.0735962
Chemokine_signaling,CCL3,CCR1,Mast_cell,Myeloid,0.00041663132,0.00042700244,-0.010523467
Chemokine_signaling,CCL3,CCR1,Mast_cell,NK_cell,0.00012968325,3.6106943e-05,0.12474545
Chemokine_signaling,CCL3,CCR1,Mast_cell,Plasma_cell,3.8829407e-06,0.0,0.0055909716
Chemokine_signaling,CCL3,CCR1,Mast_cell,T_cell,2.311256e-05,7.3260676e-06,0.022434192
Chemokine_signaling,CCL3,CCR1,Myeloid,B_cell,0.00014967375,0.00018359987,-0.041956943
Chemokine_signaling,CCL3,CCR1,Myeloid,Endothelial,9.882713e-05,0.0,0.13596442
Chemokine_signaling,CCL3,CCR1,Myeloid,Epithelial,4.2472813e-05,5.208072e-05,-0.0132356025
Chemokine_signaling,CCL3,CCR1,Myeloid,Fibroblast,0.00024889776,0.00017636004,0.08632561
Chemokine_signaling,CCL3,CCR1,Myeloid,Mast_cell,0.00049300876,0.0,0.5782226
Chemokine_signaling,CCL3,CCR1,Myeloid,Myeloid,0.003924648,0.0030142723,0.29488206
Chemokine_signaling,CCL3,CCR1,Myeloid,NK_cell,0.0012216102,0.00025488416,0.8240516
Chemokine_signaling,CCL3,CCR1,Myeloid,Plasma_cell,3.657712e-05,0.0,0.05182744
Chemokine_signaling,CCL3,CCR1,Myeloid,T_cell,0.00021771924,5.171578e-05,0.21143666
Chemokine_signaling,CCL3,CCR1,NK_cell,B_cell,0.00064468675,0.00021408184,0.4379471
Chemokine_signaling,CCL3,CCR1,NK_cell,Endothelial,0.00042567612,0.0,0.5116463
Chemokine_signaling,CCL3,CCR1,NK_cell,Epithelial,0.00018294231,6.072736e-05,0.15732597
